Code,Plot,Canal_Type,Location,Neighbor_Node,Sampling_Day,Tide_Phase,Tide_State,Distance_to_Neighbor_m,Water_Depth_m,Streamwise_Velocity_U_m_s,Diffusivity_Vertical_m2_s,Diffusivity_Lateral_m2_s,Diffusivity_Longitudinal_m2_s,Input_Near_Bed_Conc_sb_g_L,Target_Measured_Avg_s0_g_L,Modelled_s0,Peclet_Number,Is_Seed_Node,Residual,Abs_Error,Squared_Error
8_E_2_Day_2_LT,8,CPC,E,D,Day_2,Spring,LT,78.96,0.66,-0.0132,3e-05,0.15,0.15,0.1231,0.0947,0.10798924217063097,69484.79999999999,False,-0.01328924217063096,0.01328924217063096,0.00017660395746967627
8_E_2_Day_3_HT,8,CPC,E,D,Day_3,Spring,HT,78.96,0.73,0.0178,4.4e-05,0.15,0.15,0.119,0.0915,0.03642931149430788,93699.19999999998,False,0.05507068850569212,0.05507068850569212,0.0030327807324909703
8_E_2_Day_3_LT,8,CPC,E,D,Day_3,Spring,LT,78.96,0.66,-0.014,3.2e-05,0.15,0.15,0.0785,0.0604,0.08023938338140706,73696.0,False,-0.019839383381407054,0.019839383381407054,0.0003936011329544504
8_F_2_Day_1_HT,8,CPC,F,D,Day_1,Neap,HT,117.84,0.76,0.0127,3.3e-05,0.15,0.15,0.157,0.1208,0.0,99771.2,False,0.1208,0.1208,0.01459264
8_F_2_Day_1_LT,8,CPC,F,D,Day_1,Neap,LT,117.84,0.71,-0.0154,3.7e-05,0.15,0.15,0.0631,0.0485,0.09655460973209623,120982.40000000001,False,-0.04805460973209623,0.04805460973209623,0.0023092455165040775
8_F_2_Day_2_HT,8,CPC,F,D,Day_2,Spring,HT,117.84,0.76,0.0185,4.8e-05,0.15,0.15,0.119,0.0915,0.004684059424474175,145336.0,False,0.08681594057552583,0.08681594057552583,0.007537007538013232
8_F_2_Day_2_LT,8,CPC,F,D,Day_2,Spring,LT,117.84,0.71,-0.0148,3.6e-05,0.15,0.15,0.097,0.0746,0.10993569970124538,116268.8,False,-0.03533569970124538,0.03533569970124538,0.0012486116733765927
8_F_2_Day_3_HT,8,CPC,F,D,Day_3,Spring,HT,117.84,0.76,0.0149,3.9e-05,0.15,0.15,0.0653,0.0502,0.04327958853097835,117054.4,False,0.006920411469021649,0.006920411469021649,4.7892094900566384e-05
8_F_2_Day_3_LT,8,CPC,F,D,Day_3,Spring,LT,117.84,0.71,-0.0178,4.3e-05,0.15,0.15,0.0567,0.0436,0.08152412925068714,139836.8,False,-0.03792412925068714,0.03792412925068714,0.0014382395794228238
8_F_across_2_Day_1_HT,8,CPC,F_across,D,Day_1,Neap,HT,113.12,0.98,0.0178,6e-05,0.15,0.15,0.119,0.0915,0.009641342927191269,134235.73333333334,False,0.08185865707280873,0.08185865707280873,0.006700839737763699
8_F_across_2_Day_1_LT,8,CPC,F_across,D,Day_1,Neap,LT,113.12,0.92,-0.0209,6.6e-05,0.15,0.15,0.0849,0.0653,0.08723597324583182,157613.86666666667,False,-0.021935973245831825,0.021935973245831825,0.0004811869222418496
8_F_across_2_Day_2_HT,8,CPC,F_across,D,Day_2,Spring,HT,113.12,0.98,0.0192,6.4e-05,0.15,0.15,0.0469,0.0361,0.02492245007997141,144793.6,False,0.01117754992002859,0.01117754992002859,0.00012493762221473114
8_F_across_2_Day_2_LT,8,CPC,F_across,D,Day_2,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.15,0.15,0.0333,0.0256,0.085942187332738,135743.99999999997,False,-0.060342187332737995,0.060342187332737995,0.0036411795720992456
8_F_across_2_Day_3_HT,8,CPC,F_across,D,Day_3,Spring,HT,113.12,0.98,0.0196,6.6e-05,0.15,0.15,0.0681,0.0524,0.04975886593645776,147810.13333333333,False,0.0026411340635422442,0.0026411340635422442,6.975589141603167e-06
8_F_across_2_Day_3_LT,8,CPC,F_across,D,Day_3,Spring,LT,113.12,0.92,-0.018,5.7e-05,0.15,0.15,0.0619,0.0476,0.07598222204900171,135743.99999999997,False,-0.028382222049001704,0.028382222049001704,0.0008055505284388385
8_G_2_Day_1_HT,8,CPC,G,F,Day_1,Neap,HT,34.86,0.63,0.0158,3.4e-05,0.15,0.15,0.0932,0.0717,0.06232355247234851,36719.200000000004,False,0.009376447527651488,0.009376447527651488,8.791776823880171e-05
8_G_2_Day_1_LT,8,CPC,G,F,Day_1,Neap,LT,34.86,0.59,-0.0134,2.7e-05,0.15,0.15,0.1282,0.0986,0.11488428857854913,31141.6,False,-0.016284288578549133,0.016284288578549133,0.00026517805450946576
8_G_2_Day_2_HT,8,CPC,G,F,Day_2,Spring,HT,34.86,0.63,0.0134,2.9e-05,0.15,0.15,0.1154,0.0888,0.07639231526279909,31141.6,False,0.012407684737200914,0.012407684737200914,0.0001539506405377685
8_G_2_Day_2_LT,8,CPC,G,F,Day_2,Spring,LT,34.86,0.59,-0.0111,2.2e-05,0.15,0.15,0.0618,0.0475,0.059510810688955064,25796.4,False,-0.012010810688955063,0.012010810688955063,0.0001442595734059172
8_G_2_Day_3_HT,8,CPC,G,F,Day_3,Spring,HT,34.86,0.63,0.0124,2.7e-05,0.15,0.15,0.0137,0.0105,0.009085468433381193,28817.6,False,0.0014145315666188076,0.0014145315666188076,2.000899552961058e-06
